mid,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
480,114,Elizabeth Montgomery,Agnes Moorehead,Dick York,Comedy Family Fantasy,bewitched 
481,253,Quincy Jones,Penn Jillette,Russi Taylor,Animation Family Fantasy Music,fantasia 2000
482,95,Mark Addy,Alan Young,Josh Stamberg,Action Adventure Sci-Fi,the time machine
483,185,Charlize Theron,Mika Boorem,David Paymer,Action Adventure Family Fantasy Thriller,mighty joe young
484,165,Hugh Jackman,Don Cheadle,Sam Shepard,Action Crime Thriller,swordfish
485,31,Michael Emerson,Nick Chinlund,Adrian Alonso,Action Adventure Western,the legend of zorro
486,254,Robin Williams,Annabella Sciorra,Rosalind Chao,Drama Fantasy Romance,what dreams may come
487,255,Adam Sandler,Jon Lovitz,Michael McKean,Comedy Fantasy,little nicky
488,256,Matt Damon,Heath Ledger,Mackenzie Crook,Action Adventure Comedy Fantasy Thriller,the brothers grimm
489,25,Natalie Portman,Martin Short,Lukas Haas,Action Comedy Sci-Fi,mars attacks!
490,257,Nissim Renard,Roxane Duran,Julie-Marie Parmentier,Drama Horror Mystery Sci-Fi,evolution
491,99,Anthony Hopkins,Harold Perrineau,Bart the Bear,Action Adventure Drama Thriller,the edge
492,66,Bruce Willis,Devin Ratray,Boris Kodjoe,Action Sci-Fi Thriller,surrogates
493,147,Bruce Greenwood,Jon Foster,Bruce Thomas,Drama History Thriller,thirteen days
494,50,Sylvester Stallone,Viggo Mortensen,Amy Brenneman,Action Adventure Drama Thriller,daylight
495,258,Charlie Rowe,Tiya Sircar,Madison Rothschild,Adventure Animation Family,walking with dinosaurs 3d
496,259,Richard Tyson,Michael Byrne,John Topor,Action Adventure Sci-Fi,battlefield earth
497,260,Brendan Fraser,Jenna Elfman,Heather Locklear,Adventure Animation Comedy Family Fantasy Sci-Fi,looney tunes: back in action
498,15,Fergie,Elio Germano,Andrea Di Stefano,Drama Musical Romance,nine
499,106,Paul Walker,Gerard Butler,Ethan Embry,Action Adventure Sci-Fi,timeline
500,261,Olivia Williams,Brian Anthony Wilson,Larenz Tate,Action Adventure Drama Sci-Fi,the postman
501,84,Adam Goldberg,Elizabeth Daily,Glenne Headly,Adventure Comedy Drama Family Fantasy,babe: pig in the city
502,109,Vin Diesel,Joseph Gilgun,Lotte Verbeek,Action Adventure Fantasy,the last witch hunter
503,262,Bob Neill,Val Kilmer,Tom Sizemore,Action Sci-Fi Thriller,red planet
504,192,Mia Farrow,Adam LeFevre,Penny Balfour,Adventure Animation Family Fantasy,arthur and the invisibles
505,263,Pedro Armendáriz Jr.,Jacques Perrin,Rie Miyazawa,Documentary Drama,oceans
506,178,David Oyelowo,Catherine McCormack,Jemima Rooper,Action Adventure Horror Sci-Fi Thriller,a sound of thunder
507,217,Sasha Roiz,Currie Graham,Dylan Schombing,Action Adventure Drama History Romance,pompeii
508,264,Sariann Monaco,David Hoffman,Ben Diskin,Animation Family,top cat begins
509,85,Adam Goldberg,Austin Pendleton,Judd Hirsch,Biography Drama,a beautiful mind
510,222,Matthew Broderick,Nathan Lane,Niketa Calame,Adventure Animation Drama Family Musical,the lion king
511,150,Josh Hutcherson,Dwayne Johnson,Kristin Davis,Action Adventure Comedy Family Fantasy Sci-Fi,journey 2: the mysterious island
512,265,Will Forte,Khamani Griffin,Melissa Sturm,Animation Comedy Family Fantasy Sci-Fi,cloudy with a chance of meatballs 2
513,26,Philip Seymour Hoffman,Anthony Hopkins,Emily Watson,Crime Drama Thriller,red dragon
514,91,J.K. Simmons,Viggo Mortensen,Peter Mensah,Action Adventure Western,hidalgo
515,207,Al Pacino,Adam Sandler,Tim Meadows,Comedy,jack and jill
516,266,Paul Walker,Cole Hauser,Mo Gallini,Action Crime Thriller,2 fast 2 furious
517,118,Jeff Bridges,James Franco,Mackenzie Foy,Adventure Animation Drama Family Fantasy,the little prince
518,267,Roger Rees,Veronica Cartwright,Jeremy Northam,Sci-Fi Thriller,the invasion
519,268,Robert De Niro,Janeane Garofalo,Jonathan Winters,Adventure Animation Comedy Family Fantasy,the adventures of rocky & bullwinkle
520,269,Steve Coogan,Eric Stonestreet,Albert Brooks,Animation Comedy Family,the secret life of pets
521,270,Jason Flemyng,Max Ryan,Tony Curran,Action Adventure Fantasy Sci-Fi,the league of extraordinary gentlemen
522,271,Steve Carell,Miranda Cosgrove,Steve Coogan,Animation Comedy Family Sci-Fi,despicable me 2
523,43,Will Smith,Adam Baldwin,Mary McDonnell,Action Adventure Sci-Fi,independence day
524,39,Ariana Richards,Richard Schiff,Vanessa Lee Chester,Action Adventure Sci-Fi,the lost world: jurassic park
525,80,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter,Adventure Animation Comedy Family,madagascar
526,123,Charlie Hunnam,Danny Huston,Rita Davies,Drama Sci-Fi Thriller,children of men
527,12,Hugh Jackman,Tyler Mane,Bruce Davison,Action Adventure Sci-Fi,x-men
528,205,Angelina Jolie Pitt,Morgan Freeman,Common,Action Crime Fantasy Thriller,wanted
529,28,Nicolas Cage,Michael Biehn,Bokeem Woodbine,Action Adventure Thriller,the rock
530,129,Denis Leary,Ray Romano,Jay Leno,Action Adventure Animation Comedy Family Fantasy,ice age: the meltdown
531,232,Adam Sandler,Peter Dante,Allen Covert,Comedy Romance,50 first dates
532,240,Jerry Stiller,Elijah Kelley,Paul Dooley,Comedy Drama Family Music Musical Romance,hairspray
533,201,James D'Arcy,Alan Ford,Izabella Scorupco,Horror Mystery Thriller,exorcist: the beginning
534,272,Matthew Broderick,Rene Auberjonois,Rupert Everett,Action Adventure Comedy Family Sci-Fi,inspector gadget
535,113,Morgan Freeman,Common,Michael Kelly,Crime Mystery Thriller,now you see me
536,207,Steve Buscemi,Adam Sandler,Salma Hayek,Comedy,grown ups
537,39,Tom Hanks,Chi McBride,Barry Shabaka Henley,Comedy Drama,the terminal
538,114,Harold Perrineau,Matt Ryan,Charles Halford,Drama Fantasy Horror Thriller,constantine 
539,209,Don Cheadle,Kevin Dillon,Yvette Nicole Brown,Comedy Family,hotel for dogs
540,31,Nicholas Lea,Scott Glenn,Ben Mendelsohn,Action Adventure Drama Thriller,vertical limit
541,273,Philip Seymour Hoffman,Tom Hanks,Jud Tylor,Biography Comedy Drama History,charlie wilson's war
542,194,Robert De Niro,Martin Scorsese,Angelina Jolie Pitt,Adventure Animation Comedy Family,shark tale
543,112,Loretta Devine,Jennifer Hudson,Anika Noni Rose,Drama Music Musical,dreamgirls
544,114,Adam Arkin,Brent Sexton,Damian Lewis,Crime Drama Mystery,life 
545,274,Dwayne Johnson,Christina Milian,Debi Mazar,Comedy Crime Music,be cool
546,39,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,Drama History Thriller,munich
547,275,Bruce Willis,Tom Skerritt,Cole Hauser,Action Drama Thriller War,tears of the sun
548,276,Tom Selleck,Lisa Ann Walter,Catherine O'Hara,Action Comedy Romance Thriller,killers
549,130,Henry Cavill,Elizabeth Debicki,Christian Berkel,Action Adventure Comedy,the man from u.n.c.l.e.
550,141,Adam Sandler,Paz Vega,Sarah Steele,Comedy Drama Romance,spanglish
551,277,Steve Buscemi,Jon Heder,Catherine O'Hara,Animation Comedy Family Fantasy Mystery,monster house
552,278,Bruce Willis,Brían F. O'Byrne,Azura Skye,Comedy Crime Drama Romance,bandits
553,279,Julia Ormond,Ben Cross,John Gielgud,Action Adventure Romance Thriller,first knight
554,280,Bai Ling,Geoffrey Palmer,Randall Duk Kim,Drama History Romance,anna and the king
555,229,Henry Cavill,Daniel Sharman,Steve Byers,Action Drama Fantasy Romance,immortals
556,281,Jimmy Bennett,Bruce Willis,Ransford Doherty,Action Crime Drama Mystery Thriller,hostage
557,282,Matt Damon,Janeane Garofalo,Nathan Lane,Action Adventure Animation Family Sci-Fi,titan a.e.
558,283,Harrison Ford,Bruce Greenwood,Lena Olin,Action Comedy Crime Thriller,hollywood homicide
559,217,Connie Nielsen,Sean Pertwee,Jason Scott Lee,Action Drama Sci-Fi,soldier
560,284,Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci,Drama Horror Sci-Fi Thriller,carriers
561,285,Brendan Fraser,Bridget Fonda,Megan Mullally,Animation Comedy Fantasy,monkeybone
562,199,Dennis Quaid,Tony Curran,Miranda Otto,Action Adventure Drama Thriller,flight of the phoenix
563,94,Robin Wright,Bruce Willis,Michael Kelly,Drama Mystery Sci-Fi Thriller,unbreakable
564,286,Steve Carell,Jon Hamm,Steve Coogan,Action Animation Comedy Family Sci-Fi,minions
565,11,Jon Hamm,Abbie Cornish,Scott Glenn,Action Fantasy,sucker punch
566,210,Nicolas Cage,Mike Starr,John Heard,Crime Mystery Thriller,snake eyes
567,278,Peter Coyote,James Pickens Jr.,Huey Lewis,Drama Mystery Sci-Fi Thriller,sphere
568,287,Peter Dinklage,Josh Gad,Keegan-Michael Key,Action Animation Comedy Family,the angry birds movie
569,280,Matthew McConaughey,Ray Winstone,Alexis Dziena,Action Adventure Comedy Romance Thriller,fool's gold
570,288,Adam Sandler,RZA,Maude Apatow,Comedy Drama,funny people
571,22,Jennifer Garner,Frances Fisher,Tim McGraw,Action Drama Thriller,the kingdom
572,168,Will Ferrell,Leslie Bibb,Gary Cole,Action Comedy Sport,talladega nights: the ballad of ricky bobby
573,289,Raven-Symoné,Jeffrey Jones,Kevin Pollak,Comedy Family Fantasy,dr. dolittle 2
574,290,Mhairi Calvey,Patrick McGoohan,James Robinson,Biography Drama History War,braveheart
575,3,Jake Gyllenhaal,Brian Geraghty,James Morrison,Action Drama War,jarhead
576,291,Albert Brooks,Yeardley Smith,Marcia Wallace,Adventure Animation Comedy,the simpsons movie
577,292,Martin Landau,Hal Holbrook,Jeffrey DeMunn,Drama Romance,the majestic
578,201,Sylvester Stallone,Estella Warren,Cristián de la Fuente,Action Drama Sport,driven
579,224,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,Adventure Drama Family,two brothers
580,94,Bryce Dallas Howard,Judy Greer,William Hurt,Drama Mystery Romance Thriller,the village
581,293,Oliver Platt,Raven-Symoné,Peter Boyle,Comedy Family Fantasy,doctor dolittle
582,94,Rory Culkin,Merritt Wever,Cherry Jones,Drama Sci-Fi Thriller,signs
583,14,Rupert Everett,Jennifer Saunders,Conrad Vernon,Adventure Animation Comedy Family Fantasy Romance,shrek 2
584,30,John Ratzenberger,Cheech Marin,George Carlin,Adventure Animation Comedy Family Sport,cars
585,294,Julia Roberts,Christopher Meloni,Hector Elizondo,Comedy Romance,runaway bride
586,50,Vin Diesel,Eve,Leila Arcieri,Action Adventure Thriller,xxx
587,295,Tim Conway,Billy West,Eddie Deezen,Adventure Animation Comedy Family Fantasy,the spongebob movie: sponge out of water
588,85,Lili Taylor,Delroy Lindo,Rene Russo,Crime Thriller,ransom
589,170,Michael Fassbender,Brad Pitt,Christoph Waltz,Adventure Drama War,inglourious basterds
590,39,Robin Williams,Julia Roberts,Bob Hoskins,Adventure Comedy Family Fantasy,hook
591,26,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,Action Adventure,hercules
592,201,Bruce Willis,John Amos,Franco Nero,Action Thriller,die hard 2
593,296,Jeremy Renner,Josh Charles,LL Cool J,Action Adventure Crime Thriller,s.w.a.t.
594,114,Nicole Beharie,Katia Winter,Lyndie Greenwood,Adventure Drama Fantasy Mystery Thriller,sleepy hollow 
595,297,Tom Cruise,Ivana Milicevic,Noah Taylor,Fantasy Mystery Romance Sci-Fi Thriller,vanilla sky
596,94,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,Drama Fantasy Mystery Thriller,lady in the water
597,217,Sanaa Lathan,Colin Salmon,Raoul Bova,Action Horror Sci-Fi Thriller,avp: alien vs. predator
598,293,Amy Poehler,Bridgit Mendler,Jesse McCartney,Animation Comedy Family Fantasy Music,alvin and the chipmunks: the squeakquel
599,298,Jon Hamm,Marc Blucas,Chris Klein,Action Drama History War,we were soldiers
600,275,Gerard Butler,Morgan Freeman,Radha Mitchell,Action Thriller,olympus has fallen
601,299,LeVar Burton,Jonathan Frakes,Michael Dorn,Action Adventure Sci-Fi Thriller,star trek: insurrection
602,89,Noel Fisher,Jim Parrack,Ramon Rodriguez,Action Sci-Fi,battle los angeles
603,25,Steve Buscemi,Alison Lohman,Albert Finney,Adventure Drama Fantasy,big fish
604,273,David Hyde Pierce,Peter Gerety,Ron Rifkin,Drama Horror Romance Thriller,wolf
605,39,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,Drama War,war horse
606,300,Bill Murray,Matt Damon,Bob Balaban,Drama War,the monuments men
607,1,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,Adventure Drama Sci-Fi Thriller,the abyss
608,79,Frank Langella,Austin Pendleton,John Buffalo Mailer,Drama,wall street: money never sleeps
609,301,Dominic Cooper,Sarah Gadon,Zach McGowan,Action Drama Fantasy Horror War,dracula untold
610,104,Denzel Washington,Bruce Willis,Mark Valley,Action Thriller,the siege
611,70,Henry Cavill,David Kelly,Nathaniel Parker,Adventure Family Fantasy Romance,stardust
612,224,Brad Pitt,Mako,Victor Wong,Adventure Biography Drama History War,seven years in tibet
613,85,Channing Tatum,Clint Howard,Chelcie Ross,Comedy Drama,the dilemma
614,134,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Action Adventure Comedy Thriller,bad company
615,302,Dwayne Johnson,Ben Daniels,Dexter Fletcher,Action Adventure Horror Sci-Fi,doom
616,293,Gary Cole,Phill Lewis,Tate Taylor,Action Adventure Comedy Thriller,i spy
617,303,Theo James,Stephen Rea,Sandrine Holt,Action Fantasy Horror,underworld: awakening
618,240,James Martin Kelly,Shane Hartline,Celina Beach,Comedy Drama Musical Romance,rock of ages
619,304,Bruce Willis,Cole Hauser,Rory Cochrane,Drama War,hart's war
620,305,Jason Statham,Robert De Niro,Ben Mendelsohn,Action Crime Thriller,killer elite
621,132,LL Cool J,Chris Klein,Andrew Bryniarski,Action Sci-Fi Sport,rollerball
622,306,Talisa Soto,Sandrine Holt,Gregg Henry,Action Crime Sci-Fi Thriller,ballistic: ecks vs. sever
623,307,Morgan Freeman,Minnie Driver,Randy Quaid,Action Crime Drama Thriller,hard rain
624,308,Ron Howard,Brandy Norwood,David Hyde Pierce,Action Adventure Animation Comedy Crime Family Fantasy,osmosis jones
625,156,Lea Michele,Oliver Platt,Jim Belushi,Adventure Animation Family Fantasy Musical,legends of oz: dorothy's return
626,160,Chris Hemsworth,Archie Kao,Brandon Molale,Action Crime Drama Mystery Thriller,blackhat
627,309,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Action Adventure Mystery Sci-Fi Thriller,sky captain and the world of tomorrow
628,310,Charlotte Rampling,Indira Varma,Neil Maskell,Crime Mystery Thriller,basic instinct 2
629,311,Sylvester Stallone,50 Cent,Matt Gerald,Action Crime Mystery Sci-Fi Thriller,escape plan
630,201,Roxanne McKee,Luke Newberry,Gaia Weiss,Action Adventure Fantasy,the legend of hercules
631,312,Morgan Freeman,Bruce McGill,Philip Baker Hall,Action Drama Thriller,the sum of all fears
632,313,Robert Pattinson,Kristen Stewart,Anna Kendrick,Adventure Drama Fantasy Romance,the twilight saga: eclipse
633,190,Robert De Niro,Marlon Brando,Gary Farmer,Crime Drama Thriller,the score
634,271,Steve Carell,Miranda Cosgrove,Jack McBrayer,Animation Comedy Family,despicable me
635,314,Vincent Pastore,Robert Blake,Aida Turturro,Action Comedy Crime Drama Thriller,money train
636,315,Liam Neeson,Morgan Freeman,Seth MacFarlane,Comedy,ted 2
637,316,Max Minghella,Ashraf Barhom,Rupert Evans,Adventure Drama History Romance,agora
638,317,Janeane Garofalo,Wes Studi,Eddie Izzard,Action Comedy Fantasy Sci-Fi,mystery men
639,308,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,Comedy Romance,hall pass
640,160,Al Pacino,Rip Torn,Debi Mazar,Biography Drama Thriller,the insider
641,318,Michael Raymond-James,Abraham Benrubi,Graham McTavish,Action Drama History Thriller,the finest hours
642,19,Leonardo DiCaprio,Simon McBurney,Michael Gaston,Action Drama Thriller,body of lies
643,191,Steve Carell,Stephanie Szostak,Bruce Greenwood,Comedy,dinner for schmucks
644,205,Rufus Sewell,Dominic Cooper,Benjamin Walker,Action Fantasy Horror,abraham lincoln: vampire hunter
645,231,Will Patton,Kevin McNally,Maury Chaykin,Action Crime Romance Thriller,entrapment
646,114,Hector Elizondo,Kaitlyn Dever,Nancy Travis,Comedy,last man standing 
647,319,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Drama Mystery Sci-Fi Thriller,the x files
648,320,Colin Firth,Nonso Anozie,Owen Teale,Action Adventure Fantasy War,the last legion
649,39,Tom Hanks,Vin Diesel,Matt Damon,Action Drama War,saving private ryan
650,321,Rami Malek,Dominic Cooper,Ramon Rodriguez,Action Crime Drama Thriller,need for speed
651,221,Judy Greer,Lisa Edelstein,Loretta Devine,Comedy Fantasy Romance,what women want
652,176,Goran Visnjic,Stephen Root,Denis Leary,Adventure Animation Comedy Family,ice age
653,322,Morgan Freeman,Michael O'Neill,Reece Thompson,Drama Horror Sci-Fi Thriller,dreamcatcher
654,39,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Biography Drama History War,lincoln
655,45,Keanu Reeves,Marcus Chong,Gloria Foster,Action Sci-Fi,the matrix
656,85,Tom Hanks,Miko Hughes,Kathleen Quinlan,Adventure Drama History,apollo 13
657,131,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi,total recall
658,323,Judge Reinhold,Aisha Tyler,Eric Lloyd,Comedy Family Fantasy,the santa clause 2
659,324,Hugh Jackman,Eddie Redmayne,Anne Hathaway,Drama Musical Romance,les misérables
660,325,Tom Hanks,Jean Stapleton,Dave Chappelle,Comedy Drama Romance,you've got mail
661,168,Will Ferrell,Adam Scott,Andrea Savage,Comedy,step brothers
662,31,Anthony Hopkins,Tony Amendola,Stuart Wilson,Action Adventure Comedy Romance Thriller Western,the mask of zorro
663,236,Robert Downey Jr.,RZA,Matt Walsh,Comedy Drama,due date
664,326,Finn Wittrock,Jack O'Connell,Alex Russell,Biography Drama Sport War,unbroken
665,327,Clint Eastwood,Courtney B. Vance,William Devane,Action Adventure Thriller,space cowboys
666,201,Sylvester Stallone,Leon,Janine Turner,Action Adventure Thriller,cliffhanger
667,135,Delroy Lindo,Samantha Mathis,Bob Gunton,Action Crime Thriller,broken arrow
668,72,Bruce Willis,Lily Tomlin,Daniel von Bargen,Comedy Family Fantasy,the kid
669,79,Nicolas Cage,Jay Hernandez,Armando Riesco,Drama History Thriller,world trade center
670,37,Julia Roberts,Kirsten Dunst,Marian Seldes,Drama,mona lisa smile
671,328,Sayed Badreya,Aasif Mandvi,Horatio Sanz,Comedy Romance,the dictator
672,329,Tom Cruise,Vinessa Shaw,Sydney Pollack,Drama Mystery Thriller,eyes wide shut
673,330,Quvenzhané Wallis,Dorian Missick,David Zayas,Comedy Drama Family Musical,annie
674,331,Will Smith,Adrian Martinez,Gerald McRaney,Comedy Crime Drama Romance,focus
675,33,Tom Hardy,Abigail Spencer,Warren Christie,Action Comedy Romance,this means war
676,332,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,Action Adventure Fantasy Horror Sci-Fi Thriller,blade: trinity
677,214,Lea Thompson,Jennifer Grey,William Smith,Action Drama War,red dawn
678,273,Maura Tierney,Adrian Lester,Paul Guilfoyle,Comedy Drama,primary colors
679,217,Milla Jovovich,Boris Kodjoe,Bingbing Li,Action Horror Sci-Fi Thriller,resident evil: retribution
680,217,Jason Statham,Max Ryan,Joan Allen,Action Sci-Fi Thriller,death race
681,201,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Action Crime Drama Mystery Thriller,the long kiss goodnight
682,333,Pamela Reed,Alun Armstrong,Michael Kitchen,Action Drama Thriller,proof of life
683,48,Kristen Stewart,Josh Hutcherson,Jonah Bobo,Action Adventure Comedy Family Fantasy Sci-Fi,zathura: a space adventure
684,69,Brad Pitt,Meat Loaf,Eugenie Bondurant,Drama,fight club
685,33,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,Drama Sport,we are marshall
686,114,Jason Flemyng,James Nesbitt,Frances O'Connor,Crime Drama Mystery,the missing 
687,334,Bruce Willis,James Coburn,Richard E. Grant,Action Adventure Comedy,hudson hawk
688,325,Michael Rapaport,Michael Moore,Richard Schiff,Comedy Crime,lucky numbers
689,335,Caitlin Stasey,Kevin Grevioux,Miranda Otto,Action Fantasy Sci-Fi Thriller,"i, frankenstein"
690,336,Ian McNeice,Barney Clark,Tony Noble,Crime Drama,oliver twist
691,319,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,Action Crime Fantasy Thriller,elektra
692,337,Joseph Gordon-Levitt,Bruce Willis,Eva Green,Action Crime Thriller,sin city: a dame to kill for
693,208,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,Drama Mystery Romance,random hearts
694,338,Michael Kelly,Martin Henderson,Tom Goodman-Hill,Adventure Biography Drama History Sport Thriller,everest
695,179,Michael Smiley,David Calder,Simon Chandler,Crime Drama Fantasy,perfume: the story of a murderer
696,191,Verne Troyer,Josh Zuckerman,Robert Wagner,Action Comedy Crime,austin powers in goldmember
697,96,Nicolas Cage,Charlize Theron,Dee Bradley Baker,Action Animation Comedy Family Sci-Fi,astro boy
698,39,Wayne Knight,Ariana Richards,Bob Peck,Adventure Sci-Fi Thriller,jurassic park
699,322,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,Adventure Biography Crime Drama Western,wyatt earp
700,121,Harrison Ford,Dean Jones,Raymond Cruz,Action Crime Drama Thriller,clear and present danger
701,339,Si Won Choi,Peng Lin,Sung-jun Yoo,Action Adventure Drama History,dragon blade
702,340,Chazz Palminteri,Brittany Daniel,John Witherspoon,Comedy Crime,littleman
703,66,Matthew McConaughey,Thomas Kretschmann,David Keith,Action War,u-571
704,341,Shawna Waldron,Samantha Mathis,Wendie Malick,Comedy Drama Romance,the american president
705,342,Justin Timberlake,Romany Malco,Verne Troyer,Comedy Romance Sport,the love guru
706,343,Jon Lovitz,Bokeem Woodbine,Ice-T,Action Comedy Crime Thriller,3000 miles to graceland
707,170,Craig Stark,Jennifer Jason Leigh,Zoë Bell,Crime Drama Mystery Thriller Western,the hateful eight
708,344,Will Ferrell,Amy Poehler,Jon Heder,Comedy Sport,blades of glory
709,345,Gary Cole,Elizabeth Perkins,Chelsea Handler,Adventure Animation Comedy Family Fantasy,hop
710,11,Gerard Butler,Michael Fassbender,Vincent Regan,Action Drama Fantasy War,300
711,191,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance,meet the fockers
712,346,Eric Dane,Kathleen Turner,Haley Bennett,Comedy Drama Family,marley & me
713,292,Tom Hanks,Jeffrey DeMunn,Michael Jeter,Crime Drama Fantasy Mystery,the green mile
714,206,Jill Hennessy,Tichina Arnold,Drew Sidora,Action Adventure Comedy,wild hogs
715,172,Catherine O'Hara,Fred Willard,Amy Sedaris,Adventure Animation Comedy Family Sci-Fi,chicken little
716,69,Patrick Fugit,Sela Ward,Emily Ratajkowski,Crime Drama Mystery Thriller,gone girl
717,53,Matt Damon,Josh Hamilton,Nicky Naudé,Action Mystery Thriller,the bourne identity
718,31,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Action Adventure Thriller,goldeneye
719,173,Daniel von Bargen,Timothy Hutton,Clarence Williams III,Drama Mystery Thriller,the general's daughter
720,111,Natascha McElhone,Noah Emmerich,Peter Krause,Comedy Drama Sci-Fi,the truman show
721,347,Martin Short,Aria Noelle Curzon,Eden Riegel,Adventure Animation Biography Drama Family Fantasy Musical,the prince of egypt
722,289,Anjelica Huston,Lisa Edelstein,Jeff Garlin,Comedy Family,daddy day care
723,338,Denzel Washington,Patrick Fischler,Fred Ward,Action Comedy Crime Drama Thriller,2 guns
724,184,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Action Comedy Family Fantasy,cats & dogs
725,274,Jason Statham,Charlize Theron,Jimmy Shubert,Action Crime Thriller,the italian job
726,348,Dorian Missick,Alicia Witt,Dana Ivey,Comedy Romance,two weeks notice
727,80,Sylvester Stallone,Woody Allen,Anne Bancroft,Adventure Animation Comedy Family,antz
728,349,Jon Favreau,Kristin Davis,Tasha Smith,Comedy,couples retreat
729,166,Tom Cruise,Robert Duvall,Randy Quaid,Action Drama Sport,days of thunder
730,240,Taylor Lautner,Tom Welling,Alyson Stoner,Adventure Comedy Family,cheaper by the dozen 2
731,350,Ki Hong Lee,Lili Taylor,Rosa Salazar,Action Sci-Fi Thriller,the scorch trials
732,351,James Franco,Julia Roberts,Billy Crudup,Drama Romance,eat pray love
733,26,Nicolas Cage,Don Cheadle,Amber Valletta,Comedy Drama Fantasy Romance,the family man
734,128,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Action Comedy Crime Thriller,red
735,79,Al Pacino,Dennis Quaid,LL Cool J,Drama Sport,any given sunday
736,352,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Drama Romance Western,the horse whisperer
737,160,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Crime Drama Thriller,collateral
738,169,Dwayne Johnson,Roger Rees,Bernard Hill,Action Adventure Fantasy Thriller,the scorpion king
739,353,Billy Burke,Jay Hernandez,Jacinda Barrett,Action Drama Thriller,ladder 49
740,90,Tom Cruise,Robert Duvall,David Oyelowo,Action Crime Mystery Thriller,jack reacher
741,201,LL Cool J,Michael Rapaport,Saffron Burrows,Action Sci-Fi Thriller,deep blue sea
742,354,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Documentary Music,this is it
743,152,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Drama Thriller,contagion
744,355,Estella Warren,Dyan Cannon,Bill Hunter,Action Adventure Comedy Crime,kangaroo jack
745,285,Jennifer Saunders,Dawn French,John Hodgman,Animation Family Fantasy,coraline
746,94,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller,the happening
747,166,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller,man on fire
748,356,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy,the shaggy dog
749,236,Snoop Dogg,Carmen Electra,Fred Williamson,Comedy Crime,starsky & hutch
750,357,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy Family,jingle all the way
751,38,James Babson,Rupert Evans,Brian Steele,Action Fantasy Horror Sci-Fi,hellboy
752,358,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama,a civil action
753,359,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy,paranorman
754,310,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller,the jackal
755,135,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller,paycheck
756,360,Joe Mantegna,Stockard Channing,Raymond Cruz,Drama Romance,up close & personal
757,361,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy,the tale of despereaux
758,114,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,Comedy Romance,rules of engagement 
759,362,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi,the tuxedo
760,363,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller,under siege 2: dark territory
761,86,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller,jack ryan: shadow recruit
762,364,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama,joy
763,365,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller,london has fallen
764,366,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi,alien: resurrection
765,275,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller,shooter
